x;p1;p2;p3;p4
0.575;-7.18557e-006;-3.32146e-006;-2.5877e-006;1.54869e-005
0.58;2.18704e-006;-1.1072e-005;-3.05347e-006;1.52944e-005
0.585;4.77185e-006;-1.46156e-005;-2.91204e-006;1.51028e-005
0.59;-5.7125e-006;-1.39249e-005;-2.18451e-006;1.49147e-005
0.595;1.08604e-006;-9.85894e-006;-9.44787e-007;1.47323e-005
0.6;-5.68317e-007;-3.40119e-006;6.87045e-007;1.45572e-005
0.605;4.47959e-006;4.22089e-006;2.55511e-006;1.43907e-005
0.61;-3.82939e-006;1.09574e-005;4.48119e-006;1.42337e-005
0.615;3.44711e-006;1.39405e-005;6.28005e-006;1.40864e-005
0.62;-1.09556e-005;1.08202e-005;7.7753e-006;1.39489e-005
0.625;9.78325e-006;1.95289e-006;8.81452e-006;1.38204e-005
0.63;1.00981e-007;-8.39416e-006;9.28235e-006;1.36998e-005
0.635;4.54964e-006;-1.37053e-005;9.11038e-006;1.35855e-005
0.64;-6.56157e-006;-9.59072e-006;8.28303e-006;1.34754e-005
0.645;-1.01935e-005;2.16151e-006;6.83883e-006;1.33669e-005
0.65;1.68395e-005;1.37324e-005;4.86714e-006;1.32569e-005
0.655;-1.27189e-005;1.6613e-005;2.50045e-006;1.3142e-005
0.66;9.8919e-006;8.43359e-006;-9.70047e-008;1.30182e-005
0.665;2.59341e-006;-4.56785e-006;-2.7434e-006;1.28812e-005
0.67;-3.37532e-006;-1.22275e-005;-5.25487e-006;1.27265e-005
0.675;-5.82946e-006;-8.9031e-006;-7.46114e-006;1.25491e-005
0.68;-1.12904e-005;1.54376e-006;-9.22001e-006;1.23437e-005
0.685;1.25401e-005;8.97325e-006;-1.0429e-005;1.2105e-005
0.69;2.0498e-005;5.89685e-006;-1.10338e-005;1.18273e-005
0.695;-1.2349e-005;-5.85226e-006;-1.10316e-005;1.15051e-005
0.7;-1.83131e-005;-1.67895e-005;-1.04707e-005;1.11325e-005
0.705;3.68378e-006;-1.80948e-005;-9.44465e-006;1.07039e-005
0.71;8.561e-006;-8.82563e-006;-8.08265e-006;1.02135e-005
0.715;8.0749e-006;4.14381e-006;-6.53683e-006;9.65589e-006
0.72;-2.60592e-006;1.25039e-005;-4.96727e-006;9.02569e-006
0.725;-1.19445e-005;1.29514e-005;-3.52656e-006;8.31783e-006
0.73;1.14979e-006;8.48414e-006;-2.3451e-006;7.52755e-006
0.735;6.62242e-006;4.55319e-006;-1.51858e-006;6.65049e-006
0.74;4.36557e-006;4.10396e-006;-1.09891e-006;5.68269e-006
0.745;-6.01749e-006;5.53083e-006;-1.08922e-006;4.62074e-006
0.75;-5.55967e-006;4.70435e-006;-1.44367e-006;3.46172e-006
0.755;1.59688e-006;-8.39913e-007;-2.07186e-006;2.20338e-006
0.76;9.77248e-006;-8.96788e-006;-2.84761e-006;8.44082e-007
0.765;1.38985e-006;-1.39151e-005;-3.62126e-006;-6.17096e-007
0.77;-9.02117e-006;-1.09045e-005;-4.23429e-006;-2.18036e-006
0.775;-1.86046e-006;-8.19275e-007;-4.53502e-006;-3.84515e-006
0.78;-1.06175e-005;9.47229e-006;-4.39405e-006;-5.61006e-006
0.785;2.51791e-005;1.22035e-005;-3.71781e-006;-7.47294e-006
0.79;4.6008e-007;5.18422e-006;-2.45919e-006;-9.43076e-006
0.795;-1.47166e-005;-6.20236e-006;-6.24232e-007;-1.14796e-005
0.8;2.20532e-007;-1.34899e-005;1.72581e-006;-1.36149e-005
0.805;-4.50043e-006;-1.20107e-005;4.4772e-006;-1.5831e-005
0.81;5.13335e-006;-3.93183e-006;7.47114e-006;-1.81215e-005
0.815;1.095e-005;4.75477e-006;1.05152e-005;-2.04793e-005
0.82;1.54393e-007;9.60962e-006;1.33982e-005;-2.28963e-005
0.825;-1.03639e-005;1.01788e-005;1.59061e-005;-2.53639e-005
0.83;-7.2501e-006;8.082e-006;1.78402e-005;-2.78726e-005
0.835;3.38178e-007;4.12949e-006;1.90327e-005;-3.04124e-005
0.84;1.69655e-005;-1.81421e-006;1.93614e-005;-3.29725e-005
0.845;1.33836e-006;-8.54795e-006;1.87604e-005;-3.55417e-005
0.85;-7.23774e-006;-1.24825e-005;1.72265e-005;-3.81082e-005
0.855;-1.06011e-005;-1.00283e-005;1.48214e-005;-4.06598e-005
0.86;-3.43845e-006;-1.26347e-006;1.16679e-005;-4.31841e-005
0.865;1.88879e-005;9.20389e-006;7.94216e-006;-4.56682e-005
0.87;1.59239e-006;1.541e-005;3.86085e-006;-4.80993e-005
0.875;-4.90883e-006;1.42569e-005;-3.34228e-007;-5.04641e-005
0.88;-1.13295e-005;7.03833e-006;-4.39407e-006;-5.27497e-005
0.885;-3.09231e-006;-2.3218e-006;-8.08083e-006;-5.4943e-005
0.89;1.60158e-005;-9.89101e-006;-1.11855e-005;-5.70311e-005
0.895;4.6747e-006;-1.30889e-005;-1.35431e-005;-5.90015e-005
0.9;-1.21605e-005;-1.09725e-005;-1.5045e-005;-6.08418e-005
0.905;2.32179e-006;-4.54189e-006;-1.56455e-005;-6.25401e-005
0.91;-1.26569e-005;3.10173e-006;-1.53648e-005;-6.40852e-005
0.915;1.02546e-005;7.87358e-006;-1.4286e-005;-6.54663e-005
0.92;2.52443e-005;7.06904e-006;-1.25463e-005;-6.66731e-005
0.925;-3.07706e-005;1.15228e-006;-1.03257e-005;-6.76964e-005
0.93;3.59974e-007;-6.63867e-006;-7.83045e-006;-6.85275e-005
0.935;2.00603e-006;-1.23119e-005;-5.27609e-006;-6.91586e-005
0.94;5.58475e-006;-1.28988e-005;-2.86923e-006;-6.95831e-005
0.945;1.83964e-005;-7.20836e-006;-7.90872e-007;-6.97949e-005
0.95;-1.92736e-005;3.70949e-006;8.17846e-007;-6.97894e-005
0.955;-2.20824e-005;1.611e-005;1.86598e-006;-6.95626e-005
0.96;2.72904e-005;2.43215e-005;2.31849e-006;-6.91119e-005
0.965;3.93159e-006;2.36045e-005;2.19684e-006;-6.84356e-005
0.97;-1.69311e-007;1.34916e-005;1.57452e-006;-6.75332e-005
0.975;-1.53121e-005;-1.39314e-006;5.68137e-007;-6.64053e-005
0.98;-4.65767e-006;-1.40675e-005;-6.75254e-007;-6.50536e-005
0.985;1.88353e-005;-1.93143e-005;-1.99296e-006;-6.34808e-005
0.99;-7.15027e-006;-1.62008e-005;-3.22247e-006;-6.16909e-005
0.995;8.28933e-006;-7.92137e-006;-4.21654e-006;-5.96889e-005
1;-7.41545e-006;1.58335e-007;-4.85635e-006;-5.74806e-005
1.005;-2.15215e-005;3.17027e-006;-5.06132e-006;-5.5073e-005
1.01;2.87535e-005;-5.49064e-007;-4.79506e-006;-5.2474e-005
1.015;5.65688e-007;-7.89125e-006;-4.06688e-006;-4.96923e-005
1.02;-6.67595e-006;-1.23009e-005;-2.92894e-006;-4.67376e-005
1.025;-7.54174e-006;-8.28454e-006;-1.46964e-006;-4.36203e-005
1.03;-3.24458e-006;3.7971e-006;1.96019e-007;-4.03514e-005
1.035;2.74704e-005;1.70006e-005;1.93795e-006;-3.69425e-005
1.04;-4.21471e-005;2.26661e-005;3.62317e-006;-3.3406e-005
1.045;2.71062e-005;1.73375e-005;5.12743e-006;-2.97546e-005
1.05;1.80113e-005;5.72913e-006;6.34529e-006;-2.60015e-005
1.055;-2.08302e-005;-3.32028e-006;7.19771e-006;-2.21601e-005
1.06;-2.09663e-005;-4.65197e-006;7.6367e-006;-1.82441e-005
1.065;1.11765e-005;-1.10443e-006;7.64689e-006;-1.42675e-005
1.07;1.89873e-005;3.90996e-008;7.24414e-006;-1.02442e-005
1.075;-1.81175e-007;-4.95882e-006;6.47166e-006;-6.18823e-006
1.08;-5.1338e-007;-1.21344e-005;5.39436e-006;-2.11349e-006
1.085;-1.79903e-005;-1.39748e-005;4.09215e-006;1.96618e-006
1.09;-8.47892e-006;-7.54842e-006;2.65298e-006;6.0372e-006
1.095;7.40029e-006;2.02585e-006;1.16643e-006;1.00862e-005
1.1;4.07968e-005;6.45439e-006;-2.81774e-007;1.41002e-005
1.105;-2.51948e-005;2.36126e-006;-1.61387e-006;1.80666e-005
1.11;-2.26844e-005;-5.61832e-006;-2.76274e-006;2.19732e-005
1.115;7.26681e-006;-9.35559e-006;-3.67329e-006;2.58083e-005
1.12;1.24951e-005;-4.37556e-006;-4.30278e-006;2.95607e-005
1.125;9.21437e-006;6.89727e-006;-4.6206e-006;3.32198e-005
1.13;-1.1364e-005;1.75502e-005;-4.60777e-006;3.67756e-005
1.135;-8.35688e-006;2.11023e-005;-4.25668e-006;4.02186e-005
1.14;6.49156e-006;1.51586e-005;-3.57123e-006;4.35401e-005
1.145;-2.33477e-006;2.34589e-006;-2.56753e-006;4.67321e-005
1.15;1.07202e-005;-1.10956e-005;-1.27499e-006;4.9787e-005
1.155;-8.095e-007;-1.83226e-005;2.62317e-007;5.26981e-005
1.16;-2.12437e-005;-1.55109e-005;1.9847e-006;5.54592e-005
1.165;1.99194e-005;-4.33014e-006;3.81646e-006;5.8065e-005
1.17;-2.35458e-006;8.58037e-006;5.66678e-006;6.05105e-005
1.175;-4.40177e-006;1.53409e-005;7.43229e-006;6.27917e-005
1.18;-4.15164e-006;1.16109e-005;9.00127e-006;6.49051e-005
1.185;1.32992e-005;-7.24309e-007;1.026e-005;6.68476e-005
1.19;-6.19157e-006;-1.47842e-005;1.11002e-005;6.8617e-005
1.195;-6.46267e-006;-2.29981e-005;1.14283e-005;7.02114e-005
1.2;4.94139e-006;-2.1509e-005;1.11742e-005;7.16296e-005
1.205;-1.64371e-006;-1.17458e-005;1.02998e-005;7.28707e-005
1.21;3.32806e-006;1.46983e-006;8.80626e-006;7.39346e-005
1.215;1.12783e-006;1.3264e-005;6.73766e-006;7.48213e-005
1.22;1.83998e-006;2.08058e-005;4.18242e-006;7.55315e-005
1.225;-1.14847e-005;2.32007e-005;1.27004e-006;7.60661e-005
